"EventDate","alias_name","price","commented","market_time","screen_size","ram_size","rom_size","battery_capacity","cost_efficient","performance","endurance","appearance","camera_performance"
2020-11-28,天语 LD2,"699","0","2019年11月","5.5","3GB","32GB","4000mAh","0","0","0","0","0"
2020-11-28,天语 N1C,"168","0","2019年08月>","2.4","","","1400mAh","0","0","0","0","0"
2020-11-28,天语 Q9,"168","0","2019年11月","2.4","","","600mAh","0","0","0","0","0"
2020-11-28,天语 T91,"159","0","2018年>","2.4","64MB","64MB","1000mAh","0","0","0","0","0"
2020-11-28,天语 T91c,"219","0","2018年>","2.4","64MB","64MB","1000mAh","0","0","0","0","0"
2020-11-28,天语 V9,"219","0","2019年10月","2.4","1GB","4GB","1700mAh","0","0","0","0","0"
2020-11-28,天语 V9C,"269","0","2019年10月","2.4","1GB","4GB","1700mAh","0","0","0","0","0"
2020-11-28,天语HD1,"599","0","2019年09月","5.7","6GB","64GB","3000mAh","0","0","0","0","0"
2020-11-28,天语LD1,"499","1","2019年12月","5.5","3GB","32GB","5300mAh","2","2","2","2","2"
2020-11-28,天语N1S,"359","0","2019年12月","2.4","512MB","4GB","2200mAh","0","0","0","0","0"
2020-11-28,天语Q21电信版,"129","1","2018年>","1.8","","","800mAh","0","0","0","0","0"
2020-11-28,天语Q31,"128","0","2018年02月","2.4","","","4000mAh","0","0","0","0","0"
2020-11-28,天语Q31电信版,"158","1","2018年02月","2.4","","","4000mAh","0","0","0","0","0"
2020-11-28,天语Q6,"319","0","2019年10月","2.4","","","4000mAh","0","0","0","0","0"
2020-11-28,天语SOS,"299","0","2019年7月","2.4","512MB","4GB","2000mAh","0","0","0","0","0"
2020-11-28,天语T2A,"89","0","2017年>","2.4","","","800mAh","0","0","0","0","0"
2020-11-28,天语T91,"219","1","2018年>","2.4","","","1000mAh","0","0","0","0","0"
2020-11-28,天语X21,"699","0","2018年>","5.84","3GB","64GB","","0","0","0","0","0"
2020-11-28,天语X25,"699","0","2019年10月","6.26","6GB","64GB","3900mAh大电池手机","0","0","0","0","0"
2020-11-28,天语微信,"299","0","2019年7月","2.4","512MB","4GB","2000mAh","0","0","0","0","0"
2020-11-28,守护宝CV19,"199","0","2017年05月>","2.4","","","1000mAh","0","0","0","0","0"
2020-11-28,富士通 F51A,"0","0","2020年>","6.7","8GB","128GB","4070mAh","0","0","0","0","0"
2020-11-28,尊享版 酷派 S1,"619","73","2016年12月15日","5.5","4GB","64GB","4070mAh","8","9","8","8","8"
2020-11-28,小仙女,"2168","21","2019年07月02日","6.39","8GB","256GB","4030mAh","8","8","8","8","8"
2020-11-28,小屏版小米mix,"2299","155","2017年09月","5.99","8GB","128GB","3400mAh大电池手机","6","6","5","6","5"
2020-11-27,小格雷S0,"518","3","2016年05月>","5","2GB","16GB","3000mAh","8","7","7","8","6"
2020-11-28,小牛9,"1558","46","2018年04月19日","5.7","6GB","64GB/128GB","3450mAh大电池手机","5","5","5","5","5"
2020-11-28,小米 10 Lite国际版,"2599","23","2020年04月30日","6.57","8GB","64GB","4160mAh","8","9","6","8","7"
2020-11-28,小米 10TPro,"0","0","","6.67","8GB","128GB/256GB","5000mAh","0","0","0","0","0"
2020-11-28,小米 10至尊纪念版,"6999","15","2020年08月16日","6.67","8GB","512GB","4500mAh","9","10","9","8","8"
2020-11-28,小米 11,"0","0","","6.67","","","4500mAh","0","0","0","0","0"
2020-11-28,小米 11Pro,"0","0","","6.67","","","4500mAh","0","0","0","0","0"
2020-11-28,小米 6s Plus,"0","4","2018年>","5.7","","","","6","6","6","5","6"
2020-11-28,小米 9透明版,"3588","17","2019年02月20日","6.39","12GB","256GB","3300mAh大电池手机","7","8","7","8","8"
2020-11-28,小米 Beryllium,"0","0","2018年>","","","","","0","0","0","0","0"
2020-11-28,小米 CC9,"2168","21","2019年07月02日","6.39","8GB","64GB","4030mAh","8","8","8","8","8"
2020-11-28,小米 CC9 e,"1408","8","2019年07月02日","6.088","6GB","64GB","4030mAh","5","5","6","8","5"
2020-11-28,小米 CC9Pro,"3199","23","2019年11月","6.47","8GB","256GB","5260mAh","8","9","9","8","9"
2020-11-28,小米 M1805E10A,"0","0","2018年>","","","","","0","0","0","0","0"
2020-11-28,小米 M1808D2TE,"1299","46","2018年09月19日","6.26","6GB","64GB/128GB","3350mAh大电池手机","7","6","6","7","7"
2020-11-28,小米 M1901F9T/E,"1099","14","2019年03月","6.26","4GB","64GB","4000mAh","7","6","6","6","6"
2020-11-28,小米 Max 3代,"1799","91","2018年07月","6.9","6GB","128GB","5500mAh","6","5","6","5","5"
2020-11-28,小米 P,"0","0","2018年>","","","","","0","0","0","0","0"
2020-11-28,小米 POCO M2Pro,"0","0","2020年07月07日","6.67","4GB","64GB","5020mAh","0","0","0","0","0"
2020-11-28,小米 POCO X3,"2172","0","","6.67","6GB","64GB","5160mAh","0","0","0","0","0"
2020-11-28,小米 POCO X3Pro,"0","0","","6.67","","","5160mAh","0","0","0","0","0"
2020-11-28,小米 POCOM3,"0","0","","6.53","4GB","64GB/128GB","6000mAh","0","0","0","0","0"
2020-11-28,小米 POCOX3,"2172","0","","6.67","6GB","64GB","5160mAh","0","0","0","0","0"
2020-11-28,小米 POCOm,"0","0","","6.53","4GB","64GB/128GB","6000mAh","0","0","0","0","0"
2020-11-28,小米 cc10,"0","0","2020年>","","","","","0","0","0","0","0"
2020-11-28,小米 红米Note 7,"999","124","2019年01月15日","6.3","3GB","32GB","4000mAh","7","6","7","7","7"
2020-11-28,小米10 5G,"4429","25","2020年>","6.67","8GB","256GB","4780mAh","9","9","8","7","8"
2020-11-28,小米10 LPDDR5,"4429","25","2020年>","6.67","8GB","256GB","4780mAh","9","9","8","7","8"
2020-11-28,小米10 Lite,"0","0","2020年>","","","","","0","0","0","0","0"
2020-11-28,小米10 Pro,"5999","28","2020年>","6.67","8GB","512GB","4500mAh","8","9","8","7","8"
2020-11-28,小米10Lite,"0","0","2020年>","","","","","0","0","0","0","0"
2020-11-28,小米10Pro,"5999","28","2020年>","6.67","8GB","512GB","4500mAh","8","9","8","7","8"
2020-11-28,小米10T,"0","0","","6.67","6GB/8GB","128GB","5000mAh","0","0","0","0","0"
2020-11-28,小米10TPro,"0","0","","6.67","8GB","128GB/256GB","5000mAh","0","0","0","0","0"
2020-11-28,小米10Tlite,"0","0","","6.67","6GB","64GB/128GB","4820mAh","0","0","0","0","0"
2020-11-28,小米10t,"0","0","","6.67","6GB/8GB","128GB","5000mAh","0","0","0","0","0"
2020-11-28,小米10t lite,"0","0","","6.67","6GB","64GB/128GB","4820mAh","0","0","0","0","0"
2020-11-28,小米10至尊纪念版,"6999","15","2020年08月16日","6.67","8GB","512GB","4500mAh","9","10","9","8","8"
2020-11-28,小米11,"0","0","","6.67","","","4500mAh","0","0","0","0","0"
2020-11-28,小米11pro,"0","0","","6.67","","","4500mAh","0","0","0","0","0"
2020-11-28,小米50倍变焦,"2599","23","2020年04月30日","6.57","8GB","64GB","4160mAh","8","9","6","8","7"
2020-11-28,小米5x国际版,"0","3","2018年>","5.5","4GB","","3080mAh","6","4","5","5","6"
2020-11-28,小米6,"2698","250","2019年02月","6.39","6GB","128GB","3300mAh大电池手机","9","9","8","9","9"
2020-11-28,小米6S,"0","0","2018年>","5.5","8GB","128GB","4000mAh","0","0","0","0","0"
2020-11-28,小米8屏下指纹版,"1299","46","2018年09月19日","6.26","6GB","64GB/128GB","3350mAh大电池手机","7","6","6","7","7"
2020-11-28,小米9,"2698","250","2019年02月","6.39","6GB","128GB","3300mAh大电池手机","9","9","8","9","9"
2020-11-28,小米9探索尊享版,"3588","17","2019年02月20日","6.39","12GB","256GB","3300mAh大电池手机","7","8","7","8","8"
2020-11-28,小米9高配版,"2998","250","2019年02月20日","6.39","8GB","256GB","3300mAh（30分钟充电58%）大电池手机","9","9","8","9","9"
2020-11-28,小米Android One手机,"0","3","2018年>","5.5","4GB","","3080mAh","6","4","5","5","6"
2020-11-28,小米CC9,"2168","21","2019年07月02日","6.39","8GB","64GB","4030mAh","8","8","8","8","8"
2020-11-28,小米CC9e,"1408","8","2019年07月02日","6.088","6GB","64GB","4030mAh","5","5","6","8","5"
2020-11-28,小米MIX 2,"0","16","2018年>","6.4","6GB","128GB","4000mAh","7","9","7","8","7"
2020-11-28,小米MIX 3,"3699","165","2018年11月01日","6.39","8GB","128GB/256GB","3200mAh","9","9","7","8","8"
2020-11-28,小米MIX 4,"0","0","2020年>","","12GB","1TB","","0","0","0","0","0"
2020-11-28,小米MIX EVO,"2299","155","2017年09月","5.99","8GB","128GB","3400mAh大电池手机","6","6","5","6","5"
2020-11-28,小米Nano,"2299","155","2017年09月","5.99","8GB","128GB","3400mAh大电池手机","6","6","5","6","5"
2020-11-28,小米POCO,"0","0","2019年07月02日","6.088","6GB","128GB","4030mAh","0","0","0","0","0"
2020-11-28,小米POCO F2 Lite,"0","0","2019年07月02日","6.088","6GB","128GB","4030mAh","0","0","0","0","0"
2020-11-28,小米Play,"1289","123","2018年12月24日","5.84","6GB","64GB","3000mAh","8","7","7","9","7"
2020-11-28,小米九高配版,"2998","250","2019年02月20日","6.39","8GB","256GB","3300mAh（30分钟充电58%）大电池手机","9","9","8","9","9"
2020-11-28,小米小仙女,"2168","21","2019年07月02日","6.39","8GB","256GB","4030mAh","8","8","8","8","8"
2020-11-28,小辣椒11,"769","0","2020年08月","6.53","8GB","128GB","4000mAh","0","0","0","0","0"
2020-11-28,小辣椒P60,"899","0","2019年10月","5.86","6GB","128GB","3000mAh","0","0","0","0","0"
2020-11-28,小辣椒T51,"399","0","2018年06月","5.5","3GB","32GB","2500mAh","0","0","0","0","0"
2020-11-28,小辣椒红辣椒7R,"499","1","2019年01月>","6","3GB","32GB","3050mAh","6","5","5","6","5"
2020-11-28,小辣椒红辣椒7S,"588","0","2018年10月","5.85","4GB","64GB","3050mAh","0","0","0","0","0"
2020-11-28,小辣椒红辣椒8A,"499","0","2019年10月","6","3GB","32GB","3000mAh","0","0","0","0","0"
2020-11-28,小辣椒红辣椒8X,"649","2","2019年04月","6.2","4GB","64GB","3400mAh大电池手机","3","3","3","5","3"
2020-11-28,小辣椒红辣椒8X Pro,"799","0","2019年05月","6.2","6GB","64GB","3400mAh大电池手机","0","0","0","0","0"
2020-11-28,小辣椒红辣椒8i,"999","0","2019年12月","6.3","8GB","128GB","4000mAh","0","0","0","0","0"
2020-11-28,小辣椒红辣椒9x,"898","3","2019年10月","5.86","8GB","128GB","3000mAh","7","6","6","7","5"
2020-11-28,小辣椒红辣椒Note5X,"899","2","2018年05月","5.99","6GB","64GB","3850mAh大电池手机","0","0","0","0","0"
2020-11-28,小辣椒红辣椒Q11,"389","0","2018年06月","5","3GB","32GB","2000mAh","0","0","0","0","0"
2020-11-28,小辣椒红辣椒Q20,"399","0","2019年02月","5.5","2GB","16GB","2800mAh","0","0","0","0","0"
2020-11-28,小辣椒红辣椒R15,"1299","1","2018年08月","6.2","6GB","128GB","3000mAh","8","6","6","8","8"
2020-11-28,尼凯恩 EN5,"89","0","2017年02月>","2.8","","","1000mAh","0","0","0","0","0"
2020-11-28,尼凯恩 EN6,"139","0","2017年05月>","2.4","","","1100mAh","0","0","0","0","0"
2020-11-28,尼凯恩 EN8,"79","0","2016年05月>","2.4","32MB","","","0","0","0","0","0"
2020-11-28,尼凯恩 EN8 PLUS,"0","0","","","","","","0","0","0","0","0"
2020-11-28,尼凯恩 EN8C,"119","0","2016年05月>","2.4","32MB","","","0","0","0","0","0"
2020-11-28,尼凯恩 W2018,"158","0","2018年05月","2.8","","","2080mAh","0","0","0","0","0"
